发布内容,发布服务,发布分支,commit id号以及 msg,发布环境,产品线,影响范围,发布时间,发布owner,测试责任人,测试验收情况,研发责任人,研发验收情况,备注
"新轻文档预览灰度：PRO -个人文件 -
比例 38/62（60%）",无,无,修改配置,pro,轻文档,个人公开只读文件预览,2026/1/14 21:00,杜旻翔,骆寿祥,已验收,陈在宏,已验收,
saas贺岁活动,"lizrd-one
lizard-homepage",release-20260106,"homepage:d95fbbd
one:695995f3",pro,主站,个人版购买会员，以及一些,2026/1/14 21:00,熊智,骆寿祥,已验收,熊智,已验收,
新轻文档补充错误日志上报、修复部分旧文档格式,cougar-mobile-web,release-20251230,ceded33ab:feat(share): 默认开启公开分享时 7 天有效,"gate
pro
pre",轻文档,新轻文档错误日志,2026/1/13 21:00,陈在宏,骆寿祥,已验收,陈在宏,已验收,
"移除轻文档微信二维码检查
修改公开分享链接有限期默认值为7天","lizard-one
cougar-mobile-web","release-20251230
release-20251230","69a5b47f5:feat(share): 默认开启公开分享时 7 天有效
ceded33ab:feat(share): 默认开启公开分享时 7 天有效","gate
pre
pro","主站
轻文档",公开分享链接有效期,2026/1/13 21:00,刘津玮,叶慧玥,已验收,刘津玮,已验收,
修复ctrl+w关闭窗口导致单元格内容被清空,lizard-service-sheet-sdk,release-20251216,a06e85d9db6b0183d11d420e8044abd7e3dfcc90 chore: 补全修饰符key判断,"pre
gate
pro",专业表格,单元格输入，快捷键,2026/1/12 21:00,王珂珂,程杰,已验收,王珂珂,已验收,
轻文档微信二维码检查（文案修改）,"lizard-one
cougar-mobile-web","release-20251230
release-20251230","a6384e2f: fix(share): 修改提示文案
2e5c472b: chore: ci update translations","gate
pre
pro","主站
轻文档",轻文档打开公开分享,2026/1/12 21:00,刘津玮,叶慧玥,已验收,刘津玮,已验收,
"• 打开 rs2 付费用户灰度开关 
• 获取单元格数据 OpenAPI 增加限制：
 ∘ 限制单次获取的单元格数量5000个
 ∘ 限制单个文件一分钟最多调用100次
",svc-sheet,release-saas,,"gate
pro",后端,"跨表引用、表格合并；获取单元格数据开放接口
",2026/1/8 22:00,段律,程杰,,段律,已验收,
修复轻文档代理产生的 500 问题,svc-auth,hotfix/cd115687/doc-v2,257d4dfc,"pro
gate",后端,轻文档代理,2026/1/8 22:00,杜旻翔,,,杜旻翔,已验收,
轻文档微信二维码检查(文件更多菜单入口),"lizard-one
cougar-mobile-web
doc-sdk","release-20251230
release-20251230
develop","ac4fa9ed: feat(share-switch): add check for WeChat QR codes to prevent sharing
6117aa2b: fix(share): qrcode check in editor menu
4078573c: fix: 修复css加载顺序问题","gate
pre
pro","主站
轻文档",轻文档打开公开分享,2026/1/8 21:00,刘津玮,叶慧玥,已验收,刘津玮,已验收,
修复win+d切换窗口导致单元格内容被清空,lizard-service-sheet-sdk,release-20251216,c53704bc938299625f6dcb8a67433e2dedd011bf: fix: 修复win+d键切换窗口时会清除单元格内容,"pre
gate
pro",专业表格,单元格输入，快捷键,2026/1/8 21:00,王珂珂,程杰,已验收,王珂珂,已验收,
fix: [PUBLIC-1897-2]修复DELIVER-3570导致普通跨页元素在重排时被截断文本的问题,lizard-service-docx-sdk,release-20260106,4c443cbce36d7a14f989ba83e9ea5bec4ab5aaa1,"pro
gate",传统文档,传统文档编辑,2026/1/8 21:00,万捷,骆寿祥,已验收,万捷,已验收,
轻文档微信二维码检查,"lizard-one
cougar-mobile-web
doc-sdk","release-20251230
release-20251230
develop","ac4fa9: feat(share-switch): add check for WeChat QR codes to prevent sharing
d1950cd0: feat(share): qrcode","gate
pro
pre","轻文档
主站",轻文档打开公开分享,2026/1/7 22:00,刘津玮,叶慧玥,已验收,刘津玮,已验收,已回滚
用户注册流程强制要求极验验证码,svc-auth,hotfix/cd115687/doc-v2,1b115964,"pro
gate",后端,新用户注册,2026/1/7 22:00,杜旻翔,叶慧玥,已验收,杜旻翔,已验收,
修复通过关联引用卡片连续新增外表的记录提示数据表被删除的问题,table-sdk,release-20251209,6da7538: refactor: 优化记录编辑器的处理逻辑，确保新插入记录的正确传递,"gate
pro",应用表格,关联引用卡片,2026/1/7 21:00,柯特,叶慧玥,已验收,柯特,已验收,
修复图表渲染报错的问题,lizard-service-sheet-sdk,release-20251216,6b77c91: fix: 尝试修复图表打包后渲染报错的问题,"pre
gate
pro",专业表格,图表,2026/1/7 21:00,刘义杨,程杰,已验收,刘义杨,已验收,
"新轻文档预览灰度：PRO -个人文件 -
比例 18/62（30%）",无,无,修改配置,pro,轻文档,个人公开只读文件预览,2026/1/7 21:00,杜旻翔,骆寿祥,已验收,陈在宏,已验收,
应用表格高级权限,table-sdk,release-20251225-advanced-permission,870a011: refactor: 优化记录编辑器的处理逻辑，确保新插入记录的正确传递,gate,应用表格,应用表格功能,2026/1/7 21:00,柯特,叶慧玥,已验收,柯特,已验收,代码灰度，主要观察对现有逻辑有无影响，持续观察中
应用表格高级权限,"svc-table
app-api
svc-file
svc-user
svc-history","svc-table:fix/motable
app-api: release
svc-file: release
svc-user: release-saas
svc-history: hotfix/table-common","svc-table: 6a95a824
app-api: 5f69e069
svc-file: 1e482e8f
svc-user: fe9113e5
svc-history: 4220f7b8",gate,应用表格,应用表格功能,2026/1/6 23:00,唐彪,叶慧玥,已验收,唐彪,已验收,
应用表格高级权限,"app-api
svc-file
svc-user","app-api: release
svc-file: release
svc-user: release-saas","app-api: 5f69e069
svc-file: 1e482e8f
svc-user: fe9113e5
","gate
pro",后端,应用表格功能,2026/1/6 23:00,唐彪,叶慧玥,已验收,唐彪,已验收,
应用表格高级权限相关错误码,"lizard-one
cougar",release-20251230,"one：18b07830
cougar：256252（理论是最新分支，由轻文档代发）","gate
pro",主站,暂无影响,2026/1/6 21:00,熊智,叶慧玥,已验收,熊智,已验收,cougar由轻文档在21点代发，对本需求无特殊影响
添加compose请求适配器以支持外部引用表的baseGuid替换逻辑,table-sdk,release-20251209,67b99bc: feat: 添加 compose 请求适配器以支持外部引用表的 baseGuid 替换逻辑,"gate
pro",应用表格,通过关联引用卡片修改记录内容,2026/1/6 21:00,柯特,叶慧玥,已验收,柯特,已验收,
新轻文档更新只读模式的代码为最新代码,cougar,release-20251230,ac037021 fix(preview): 只读模式：可以剪切、重复loading、频繁请求,"gate
pre
pro",轻文档,新轻文档只读,2026/1/6 21:00,陈在宏,骆寿祥,已验收,陈在宏,已验收,
应用表格协作重构,svc-table,fix/motable,db71b05f,"gate
pro",应用表格,应用表格编辑,2026/1/5 23:00,唐彪,叶慧玥,已验收,唐彪,已验收,
应用表格协作重构,table-sdk,release-20251209,b8ffc8d: fix: 修复数据表菜单中管理引用表的显示逻辑,"gate
pro",应用表格,应用表格编辑,2026/1/5 23:00,柯特,叶慧玥,已验收,柯特,已验收,
微信内置浏览器点击轻文档中外部链接，显示风险提示,lizard-service-doc-sdk,develop,"1aedc2: refactor: improve external link handling in WeChat browser by validating...
","gate
pro
pre",轻文档,轻文档内访问外部链接,2026/1/5 21:00,刘津玮,叶慧玥,已验收,刘津玮,已验收,
新轻文档预请求，客服懒加载，错误日志区分,cougar,release-20251014,9918bc94：fix(prefetch): prefetch逻辑调整，客服只在需要用到的地方引入,"gate
pro",轻文档,轻文档加载，七鱼客服,2026/1/4 21:00,陈在宏,骆寿祥,,陈在宏,,
svc-auth pro 环境关闭 ssr,svc-auth,hotfix/cd115687/doc-v2,2a70bd5a,pro,后端,轻文档打开场景,2025/12/30 22:00,杜旻翔,,,杜旻翔,,
- 解决表格导出行高问题,office-excel-rs,develop,a2c9df16,"gate
pro",专业表格,表格导出,2025/12/30 21:00,陆俊杰,程杰,,陆俊杰,已验收,
"fix: [BUSINESS-4554]修复图片水印不适配dpr问题
fix: [BUSINESS-4612]修复取消上传远程图片后控制台报错
fix: [BUSINESS-4610] 修复链接url显示错误
fix: [DELIVER-3138]修复浮动段落的排版混乱
fix: [DELIVER-3363]修复移动端拖动选择文本问题
fix: [DELIVER-3540]修复修订时间显示的时区问题
fix: [DELIVER-3489]修复En空格无法解析为空格导致修订时出现未知改动的问题
fix: [DELIVER-3492]修复修订模式下在已删除文本中间插入内容时，修订记录有问题
fix: [DELIVER-3535]修复缩进计算错误
feat: 升级core-collaboration模块至2.0.5
fix: [DELIVER-3138-2]修复浮动段落排版代码导致栈溢出
fix:[PUBLIC-1852]修复DELIVER-3492移除revision缓存导致的过量请求用户信息
fix: [DELIVER-3570]修复页面重排时多出来目录的问题
fix: [PUBLIC-1849]修复创建目录时带图片，表格内容的问题
fix: [PUBLIC-1845]修复移动端无法粘贴问题
fix: [PUBLIC-1865]修复表格中段落应用framePr导致无法选取的问题",lizard-service-docx-sdk,release-20251223,eb09c200e414fb552ebb0d858f87aef0be7d58b6,"gate
pro",传统文档,传统文档编辑,2025/12/30 21:00,万捷,骆寿祥,已验收,万捷,,
修复表单附件下载无法打开的问题,lizard-service-form-sdk,release-2025-12-04,"65d4207
fix: 附件下载无法打开的问题","gate
pro",表单,表单附件下载,2025/12/30 21:00,刘义杨,沈合胜,已验收,刘义杨,已验收,
切换到七鱼客服系统,"lizard-one
cougar
homepage","lizard-one、homepage：release-20251216
cougar：release-20251014
helpcenter-fe：master","lizard-one：待定
homepage：7fbd8caf
helpcenter-fe：fc0742a
cougar：待定","gate
pro",主站,留言咨询,2025/12/29 21:00,熊智,叶慧玥,已验收,熊智,,
套件请求文件内容兜底逻辑调整,"lizard-one
cougar","lizard-one: release-20251216
cougar: release-20251014","lizard-one: 572da9be feat(qiyu): 使用七鱼客服替换智齿客服
cougar: e4888c90 fix(dependency): cp后更新依赖","gate
pro",轻文档,套件请求文件内容兜底逻,2025/12/29 21:00,陈在宏,骆寿祥,已验收,陈在宏,已验收,
"- 修复importRange/溢出型数组公式引用自动识别的日期格式后结果为数字的问题
- 修复数据透视表计算字段数学运算优先级的问题
- 修复附件/图片链接域名生成错误 & 回复评论后评论框消失
- 修复www开头的链接地址无法点击跳转
- 优化图表尺寸超出浏览器绘制canvas所支持的最大尺寸时给出提示
- 修复合并单元格在打印预览/复制为图片的场景下且所在首行/首列被隐藏的情况下无法渲染单元格内容的问题
- 修复特殊情况下单元格插入链接（选择工作表类型）后工具栏的状态不对的问题
- 基于最近一个可编辑历史创建的版本禁止还原
- 修复按颜色筛选选择一个色值后切换到按条件筛选，第一个条件展示的默认值不对
- 修复windows部分低版本搜狗中文输入法不激活单元格无法输入的问题",lizard-service-sheet-sdk,release-20251216,95a9929e858821b9f51a881f3b072f85fa03c7f3  chore: 首屏请求时过滤掉无效过期content url请求,pro,专业表格,跨表格引用日期格式渲染，www开头的链接跳转，windows中文输入法单元格编辑，图表渲染，打印，数据透视表计算字段渲染,2025/12/29 21:00,"王珂珂
刘义杨",程杰,,"王珂珂
刘义杨",,
错误日志、请求文件内容兜底逻辑调整,"lizard-one
cougar","lizard-one: release-20251216
cougar: release-20251014","gate: lizard-one: 5a087ee4 feat(request): 调整兜底请求方式
cougar: e287db4f fix(file-content-backup): reapply ""fix(file-content-backup): 请求文件内容兜底流程修改""
 
pro: lizard-one: ff304c90 Revert ""feat(table): 应用表格高级权限""
cougar: 3a02796f Revert ""fix(file-content-backup): reapply ""fix(file-content-backup): 请求文件内容兜底流程修改""""","gate
pro",轻文档,轻文档错误日志。需要验证能否正常打开,2025/12/26 21:00,陈在宏,骆寿祥,,陈在宏,,
svc-auth 代理全部页面 cache 规则调整,svc-auth,release,ffc9047e,pro,后端,所有套件文档打开场景,2025/12/25 22:00,杜旻翔,,,杜旻翔,已验收,
"- 解决csv导入乱码问题
- 带数据透视图表格导入异常bug",office-excel-rs,develop,692ba6ed,"gate
pro",专业表格,csv文件导入，带数据透视图表格导入,2025/12/25 21:30,陆俊杰,程杰,已验收,陆俊杰,已验收,
- 轻文档导入重构,office-light-doc-rs,release,dfc3d6f7 chore: update version 0.8.0,gate,轻文档,轻文档导入,2025/12/25 21:30,田雪嵩,骆寿祥,已验收,田雪嵩,已验收,
用户名片 部分场景下隐藏邮箱信息,"lizard-one
cougar","lizard-one：release-20251216
cougar：release-20251014","lizard-one：e26bac28
couagr：ab7a0a0e","gate
pro",主站,弹出用户名片的所有场景      ,2025/12/25 21:00,熊智,叶慧玥,已验收,熊智,已验收,
用户名片 部分场景下隐藏邮箱信息,,,,"gate
pro",后端,弹出用户名片的所有场景      ,2025/12/25 21:00,郑伟,叶慧玥,已验收,郑伟,,
"- 修复importRange/溢出型数组公式引用自动识别的日期格式后结果为数字的问题
- 修复数据透视表计算字段数学运算优先级的问题
- 修复附件/图片链接域名生成错误 & 回复评论后评论框消失
- 修复www开头的链接地址无法点击跳转
- 优化图表尺寸超出浏览器绘制canvas所支持的最大尺寸时给出提示
- 修复合并单元格在打印预览/复制为图片的场景下且所在首行/首列被隐藏的情况下无法渲染单元格内容的问题
- 修复特殊情况下单元格插入链接（选择工作表类型）后工具栏的状态不对的问题
- 基于最近一个可编辑历史创建的版本禁止还原
- 修复按颜色筛选选择一个色值后切换到按条件筛选，第一个条件展示的默认值不对
- 修复windows部分低版本搜狗中文输入法不激活单元格无法输入的问题",lizard-service-sheet-sdk,release-20251216,95a9929e858821b9f51a881f3b072f85fa03c7f3  chore: 首屏请求时过滤掉无效过期content url请求,gate,专业表格,跨表格引用日期格式渲染，www开头的链接跳转，windows中文输入法单元格编辑，图表渲染，打印，数据透视表计算字段渲染,2025/12/25 21:00,王珂珂,程杰,已验收,王珂珂,已验收,
应用表格修复公式列更新数据格式保存失败,svc-table,fix/motable,a2715846,"gate
pro",应用表格,公式列更新数据格式,2025/12/24 22:00,唐彪,叶慧玥,已验收,唐彪,已验收,
svc-auth 代理全部页面 cache 规则调整,svc-auth,hotfix/cd115687/doc-v2,2a80ac67,gate,后端,所有套件文档打开场景,2025/12/24 22:00,杜旻翔,,,杜旻翔,已验收,
修复文件服务内存超限问题,svc-file,release,ee9cc4c8,"gate
pro",后端,文件服务,2025/12/23 23:00,王洋洋,,,王洋洋,已验收,
发布七鱼客服系统页面 qiyu.html，调整ingress路由,ngserver,ngserver,f95ebd91,pro,其他,新增页面及路由，对业务无直接影响,2025/12/23 22:00,罗沙,,,熊智,已验收,
错误日志,"lizard-one
cougar","lizard-one: release-20251209
cougar: release-20251014","lizard-one: 75e84fa6 chore: 细化日志
cougar: cef978b5 fix(error-log): 错误日志添加currentTime","gate
pro",轻文档,老轻文档错误日志。需要验证能否正常打开,2025/12/23 21:00,陈在宏,骆寿祥,已验收,陈在宏,已验收,
广告新增企业类型：企业付费过期，企业使用过期,ad-platform，svc-ads-go,ad-platform：release，svc-ads-go：hotfix-release,ad-platform：767051ad  svc-ads-go：8313d0b6,pro,其他,saas 弹出广告,2025/12/23 18:00,王洋洋,叶慧玥,已验收,王洋洋,已验收,
支持匿名用户的 contentURL 获取接口上线,app-api,release,62cb93ef,"gate
pro",后端,匿名用户获取文件内容,2025/12/22 22:00,杜旻翔,,,杜旻翔,已验收,
应用表格编辑保存失败修复与5xx请求修复,svc-table,fix/motable,3651d93d,"gate
pro",应用表格,公式列转换首次填写时间/最后填写时间；前端异常compose导致的数据异常,2025/12/22 22:00,唐彪,叶慧玥,已验收,唐彪,已验收,
新轻文档错误日志,cougar-mobile-web,release-20251014,2e4a0529 fix(error-log): 区分兜底获取失败的错误日志,"gate
pro",轻文档,新轻文档错误日志（需要验证是否能正常打开，移动端也需要,2025/12/19 21:00,陈在宏,骆寿祥,已验收,陈在宏,已验收,
一键整理改名自动归档旧快捷方式并新增提示语,lizard-one,release-20251209,"fix(log): getFileContentUrl log添加requestUrl
「d13cf305a6126b436c6e443622d42c72dbee6ab8」理论是需要发最新的，此项发布为常规上线流程，不单指某一功能的发布，此项填写后，后续可能会有hotfix新增，此时就不能按此项填写内容发布，需要提前沟通","gate
pro",主站,一键整理的相关弹窗文案更改,2025/12/18 21:00,熊智,叶慧玥,已验收,熊智,已验收,
新轻文档错误日志,cougar-mobile-web,release-20251014,4f293f81 fix(error-log): 添加阻塞只读轻文档加载接口的错误日志上报,"gate
pro",轻文档,新轻文档错误日志（需要验证是否能正常打开，移动端也需要,2025/12/18 21:00,陈在宏,骆寿祥,已验收,陈在宏,已验收,
- 解决csv导入oom问题,office-table-rs,v-0.1.x,9b01da64,"gate
pro",应用表格,csv文件导入,2025/12/17 22:30,陆俊杰,叶慧玥,已验收,陆俊杰,已验收,
"- 升级依赖修复监控误报问题
- 解决csv导入oom问题",office-excel-rs,develop,42aa334e,"gate
pro",专业表格,csv文件导入,2025/12/17 22:00,陆俊杰,程杰,已验收,陆俊杰,已验收,
修改隐私协议中的“个人信息保护负责人”联系方式,lizard-project-static,release-20251104,68fc549   feat: 更新个人信息保护人联系方式,"gate
pro",主站,主站隐私保护政策页面,2025/12/17 21:00,刘津玮,叶慧玥,已验收,刘津玮,已验收,
新轻文档getFileContent错误日志,cougar-mobile-web,release-20251014,bcb4e614 fix(error-fatal): 获取文件失败上报错误，忽略访问被删除文件等错误的上报,gate,轻文档,新轻文档错误日志（需要验证是否能正常打开,2025/12/17 21:00,陈在宏,骆寿祥,已验收,陈在宏,已验收,
- excel导入再导出提示修复,office-excel-rs,develop,6b3125e4,"gate
pro",专业表格,带有数据透视表的表格导入导出,2025/12/16 21:30,陆俊杰,程杰,已验收,陆俊杰,已验收,
- 升级依赖修复监控误报问题,"office-word-rs
","develop
","d427a051chore: update owf-client
","gate
pro",传统文档,无,2025/12/16 21:00,杜璞,,,蒋诗曲,已验收,
"- 修复importRange/溢出型数组公式引用自动识别的日期格式后结果为数字的问题
- 修复数据透视表计算字段数学运算优先级的问题
- 修复附件/图片链接域名生成错误 & 回复评论后评论框消失
- 修复www开头的链接地址无法点击跳转
- 优化图表尺寸超出浏览器绘制canvas所支持的最大尺寸时给出提示
- 修复合并单元格在打印预览/复制为图片的场景下且所在首行/首列被隐藏的情况下无法渲染单元格内容的问题
- 修复特殊情况下单元格插入链接（选择工作表类型）后工具栏的状态不对的问题
- 基于最近一个可编辑历史创建的版本禁止还原
- 修复按颜色筛选选择一个色值后切换到按条件筛选，第一个条件展示的默认值不对
- 修复windows部分低版本搜狗中文输入法不激活单元格无法输入的问题",lizard-service-sheet-sdk,release-20251216,95a9929e858821b9f51a881f3b072f85fa03c7f3  chore: 首屏请求时过滤掉无效过期content url请求,pre,专业表格,跨表格引用日期格式渲染，www开头的链接跳转，windows中文输入法单元格编辑，图表渲染，打印，数据透视表计算字段渲染,2025/12/16 21:00,王珂珂,程杰,已验收,"王珂珂
刘义杨",已验收,
表格首屏缓存优化：不请求过期的content url,lizard-service-sheet-sdk,release-20251104,6e3c1fca16c44d5c7cb312a7cbeb5e1cd34321e2  chore: 首屏请求时过滤掉无效过期content url请求,"gate
pro",专业表格,表格首屏缓存加载,2025/12/15 21:00,王珂珂,程杰,已验收,王珂珂,已验收,
- 升级依赖修复监控误报问题,"office-ppt-rs
office-lightdoc-rs
",release,0e58e88dchore: update owf-client,"gate
pro","轻文档
幻灯片",无,2025/12/15 18:30,杜璞,,,杜璞,已验收,
错误日志: 增加日志对比客户端/服务器时间,lizard-one,release-20251202,fd87de62 chore: 增加日志对比客户端/服务器时间,"gate
pro","轻文档
专业表格",错误日志。需要验证是否能正常打开套件,2025/12/12 21:00,陈在宏,骆寿祥,已验收,陈在宏,已验收,
"Hotfix: 单元格样式字段风格修复, 现在会正确的对不同字段提供不同风格的 key",svc-sheet,calc-engine-saas,"826f3396: chore(calc): 更新 CalcEngine 版本, 解决 Style 字段风格问题",gate,专业表格,ImportRange 引用到了非付费用户创建的表格,2025/12/12 12:45,胡星宇,,不需要,胡星宇,已验收,
"- 导入导出增加行列重复字段
- 导出表格名称修复
- 数据透视表导入时name重复bug修复",office-excel-rs,develop,597a4cf2,"gate
pro",专业表格,带有数据透视表的表格导入导出,2025/12/11 21:30,陆俊杰,程杰,已验收,陆俊杰,已验收,
"- 优化 txt 导入
- fix: https://jira.shimo.run/browse/PUBLIC-1661
- 增加监控指标",office-light-doc-rs,master,7223e4a9,"gate
pro",轻文档,"轻文档 txt 导入
docx 导入",2025/12/11 21:00,杜璞,骆寿祥,已验收,"杜璞
田雪嵩",已验收,
"-「内部改进」调整监控指标
- 升级部分依赖",office-ppt-rs,release,16e733c2,"gate
pro",幻灯片,无,2025/12/11 21:00,杜璞,,不需要,杜璞,已验收,
"fix: 
1. doc文件中有无效的deflate stream 导入时会panic
2. vml2dml 转换错误导致排版不正确
3. doc文件导入时候丢失表格边框
4. 调整监控指标",office-word-rs,develop,2e264552,"gate
pro",传统文档,传统文档导入,2025/12/11 21:00,蒋诗曲,沈合胜,已验收,蒋诗曲,已验收,
file 内存优化：1. regex 提前编译 2. List grpc 移除循环创建 map,svc-file,release,58a80054 fix(memory): 修复循环创建 map 异常分配内存,pro,主站,文件相关接口,2025/12/10 23:00,王洋洋,叶慧玥,已验收,王洋洋,已验收,
错误日志: 增加日志定位obs请求403的问题,lizard-one,release-20251202,a4fad4e5 chore: 增加日志定位obs请求403的问题,"gate
pro","轻文档
专业表格",错误日志。需要验证是否能正常打开套件,2025/12/10 21:00,陈在宏,骆寿祥,已验收,陈在宏,已验收,
「内部改进」增加监控指标,office-ppt-rs,release,30abee16,"gate
pro",幻灯片,无,2025/12/9 23:59,杜璞,,不需要,杜璞,已验收,
"-修复传统文档粘贴 gif 控制台报错
-添加默认字体族列表样式",lizard-service-docx-sdk,release-20251125,d67238b,"gate
pro",传统文档,复制粘贴，传统文档预览,2025/12/9 21:00,万捷,骆寿祥,已验收,万捷,已验收,
错误日志getFileContentUrl添加requestUrl,lizard-one,release-20251202,7fe84c7c fix(log): getFileContentUrl log添加requestUrl,"gate
pro","轻文档
专业表格",错误日志。需要验证是否能正常打开套件,2025/12/9 21:00,陈在宏,骆寿祥,已验收,陈在宏,已验收,
